shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0104,42.4790054,-82.9761481,388,14105.329821743875
0104,42.4789919,-82.976343,389,14121.383717858605
0104,42.4789578,-82.9769422,390,14170.669619983018
0104,42.4789169,-82.9775333,391,14219.358073041349
0104,42.4787719,-82.9795813,392,14388.085101585288
0104,42.478764,-82.9796886,393,14396.928440300242
0104,42.478751,-82.9798657,394,14411.524053850351
0104,42.4787333,-82.9801222,395,14432.651329194714
0104,42.4787048,-82.9805361,396,14466.742632047693
0104,42.4786606,-82.9811198,397,14514.863190688804
0104,42.4786517,-82.981238,398,14524.607097169817
0104,42.4786093,-82.981846,399,14574.691281205363
0104,42.478497,-82.9834587,400,14707.536372889435
0104,42.4784415,-82.9842009,401,14768.716042036365
0104,42.4784338,-82.9843045,402,14777.255286254745
0104,42.4784234,-82.9844663,403,14790.574764866997
0104,42.4783261,-82.9859876,404,14915.804587388113
0104,42.478284,-82.9865442,405,14961.690737213974
0104,42.478269,-82.9867419,406,14977.989676101512
0104,42.4782636,-82.9870642,407,15004.428314988934
0104,42.4782553,-82.9875588,408,15045.000958381348
0104,42.4782449,-82.9881084,409,15090.08849285357
0104,42.4782398,-82.9883478,410,15109.72988017202
0104,42.4782238,-82.9891295,411,15173.861806567453
0104,42.4781625,-82.9919939,412,15408.870365111205
0104,42.4781509,-82.9925353,413,15453.289382782503
0104,42.4781295,-82.9944764,414,15612.497077511842
